Image Link,Filename,Painting Title,Artist Name,Artist Filename,Painting Year,Artist Location/Birthplace,Color 1,Color 2,Color 3,Color 4,Color 5,Color 6,Color 7,Color 8,Main Color(s),Palette Source,Artist Birth Date,Genre/Style,Painting Period,color harmony
https://artoutthewazoo.wordpress.com/2012/05/27/emily-carr-post-impressionism-and-the-something-plus/,Breton_Church.jpg,Breton Church,Emily Carr,emily-carr.png,1906,Canada (source),#3d6533,#1b3728,#e7ad30,#953010,#7e6c22,#b19e2f,#9f9895,#1f2e5,"green, yellow-green, red, blue, yellow",IMAGECOLORPICKER.com,"December 13, 1871",Post-Impressionism,Post-Impressionism,
https://www.wikiart.org/en/emily-carr/totem-walk-at-sitka-1907,totem-walk-at-sitka-1907.jpg,Totem Walk at Sitka,Emily Carr,,1907,Alaska (on a voyage to Alaska),#485b3f,#647b60,#527d49,#305d80,#96b0b3,#aa5443,#504233,#887d44,"green, brown, gray, blue, red, white/ gray",IMAGECOLORPICKER.com,"December 13, 1871",Post-Impressionism,Post-Impressionism,
https://www.wikiart.org/en/emily-carr/brittany-landscape-1911,brittany-landscape-1911.jpg,Brittany Landscape,Emily Carr,,1911,France,#91b849,#3f473a,#9f6f6f,#d95a7f,#86afc6,#2f4773,#bfac10,#5e190,"green, pink, blue, dark red/ brown, yellow-green",IMAGECOLORPICKER.com,"December 13, 1871",Post-Impressionism,Post-Impressionism,
https://www.wikiart.org/en/emily-carr/indian-house-interior-with-totems-1912,indian-house-interior-with-totems-1912.jpg,Indian House Interior with Totems,Emily Carr,,1912,Canada,#cd8972,#aa3919,#3f191b,#72827a,#202c39,#7d7d7e,#60733d,#a1815a,"red, blue, brown, green, gray",IMAGECOLORPICKER.com,"December 13, 1871",Post-Impressionism,Post-Impressionism,
https://www.wikiart.org/en/emily-carr/chemainus-bay-vancouver-island-1925,chemainus-bay-vancouver-island-1925.jpg,"Chemainus Bay, Vancouver Island",Emily Carr,,1925,Canada,#145154,#b3c3c0,#745d3e,#658248,#367757,#ad4238,#bd7123,#dedfc0,"green, blue, red, yellow, white/ gray",IMAGECOLORPICKER.com,"December 13, 1871",Post-Impressionism,Post-Impressionism,
https://www.wikiart.org/en/emily-carr/thunder-bird-campbell-river-1929,thunder-bird-campbell-river-1929.jpg,"Thunder Bird, Campbell River",Emily Carr,,1929,Canada,#e2a3f,#908945,#74d67,#68a850,#80685e,#d0cf8f,#773c2c,#03a3b,"gree, blue, brown, red, yellow",IMAGECOLORPICKER.com,"December 13, 1871",Post-Impressionism,Post-Impressionism,
https://artoutthewazoo.wordpress.com/2012/05/27/emily-carr-post-impressionism-and-the-something-plus/,a-rushing-sea-of-undergrowth-1935.jpg,A Rushing Sea of Undergrowth,Emily Carr,,1935,possibly Canada,#70894f,#353a36,#ac9f47,#673026,#e2dede,#95a86c,#6b65ad,#494078,"green, blue, brown, white",IMAGECOLORPICKER.com,"December 13, 1871",Post-Impressionism,Post-Impressionism,
https://artoutthewazoo.wordpress.com/2012/05/27/emily-carr-post-impressionism-and-the-something-plus/,self-portrait-1939.jpg,Self-Portrait,Emily Carr,,1939,possibly Canada,#eac479,#453839,#746f65,#33519a,#606470,#d8d9ce,#775c38,#ad9a9c,"yellow, brown, blue, white",IMAGECOLORPICKER.com,"December 13, 1871",Post-Impressionism,Post-Impressionism,
https://www.wikiart.org/en/emily-carr/kitwancool-1928,kitwancool-1928.jpg!Large.jpg,Kitwancool,Emily Carr,,1928,"Vancouver, Canada",#3e4544,#bac1b5,#85aca9,#7e7f7b,#3a657b,#50837b,#a4c39,#6797a5,,IMAGECOLORPICKER.com,,,,
https://www.wikiart.org/en/emily-carr/kispiax-village-1929,kispiax-village-1929.jpg,Kispiax Village,Emily Carr,,1929,Canada,#334045,#a95d3b,#bca06e,#95a878,#5d9f3b,#28483d,#41596f,#789496,,IMAGECOLORPICKER.com,,,,
